Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Mux Energia;97.578.090./000.1-34;1;90,0;75,7;32,8;37,0;89,8;8,3;7,6;7,5;8,9;9,4;9,1;7,8
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Pacto Energia (Forcel);79.850.574./000.1-09;2;88,3;71,3;32,1;45,7;87,4;7,8;7,3;7,1;9,0;9,1;8,8;7,4
2022;Concessionária;Nordeste;Sulgipe;13.255.658./000.1-96;3;83,7;69,8;32,4;37,1;86,3;7,7;7,3;6,8;8,2;8,9;8,6;7,3
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Hidropan;91.982.348./000.1-87;4;81,8;69,0;28,0;30,4;82,6;7,8;7,0;6,8;8,1;8,7;8,3;7,2
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cooperaliança;83.647.990./000.1-81;5;83,0;67,2;30,1;34,1;79,9;7,5;6,8;6,8;8,0;8,8;8,6;7,1
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Santa Cruz;53.859.112./000.1-69;6;81,1;66,6;30,0;29,8;79,6;7,5;7,0;6,5;8,0;8,6;8,3;7,0
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Santa Maria;27.485.069./000.1-09;7;84,7;66,3;30,2;35,7;83,3;7,3;6,8;6,7;8,4;8,9;8,6;7,0
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;RGE;02.016.440./000.1-62;8;80,5;65,7;29,4;31,7;78,8;7,5;6,8;6,5;8,1;8,5;8,1;6,9
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Eletrocar;88.446.034./000.1-55;9;79,7;65,4;28,4;30,5;78,6;7,5;6,7;6,5;7,8;8,5;8,2;6,9
2022;Concessionária;Nordeste;Energisa Borborema;08.826.596./000.1-95;10;81,5;65,3;29,3;32,0;78,0;7,2;7,2;6,2;8,1;8,6;8,3;6,9
2022;Concessionária;Nordeste;Energisa Paraíba;09.095.183./000.1-40;11;78,8;64,9;28,9;29,9;76,6;7,3;6,9;6,3;7,9;8,4;8,0;6,8
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Chesp;01.377.555./000.1-10;12;78,1;64,7;30,3;30,8;78,8;7,0;6,9;6,6;7,6;8,4;8,1;6,8
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;Celesc-Dis;08.336.783./000.1-90;13;80,1;64,6;29,8;33,2;76,5;7,4;6,6;6,5;8,0;8,5;8,2;6,8
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;DMED;23.664.303./000.1-04;14;81,7;64,3;29,2;25,7;78,5;7,1;6,7;6,5;8,1;8,6;8,4;6,8
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;Copel-Dis;04.368.898./000.1-06;15;79,7;63,7;29,2;30,8;76,9;7,2;6,6;6,5;8,0;8,5;8,1;6,7
2022;Concessionária;Nordeste;Neoenergia Cosern;08.324.196./000.1-81;16;78,0;63,6;27,3;26,9;75,8;7,1;6,9;6,1;7,8;8,3;8,0;6,7
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;DCELT;83.855.973./000.1-30;17;77,7;63,5;28,5;34,0;76,3;7,2;6,5;6,4;8,0;8,0;8,0;6,7
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Energisa Sul-Sudeste;07.282.377./000.1-20;18;78,8;63,4;29,4;30,2;78,6;7,1;6,7;6,3;7,8;8,5;8,0;6,7
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cocel;75.805.895./000.1-30;19;81,1;62,6;26,3;31,0;76,0;7,1;6,5;6,3;7,9;8,7;8,3;6,6
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Paulista;33.050.196./000.1-88;20;78,0;62,5;28,4;27,4;75,3;7,1;6,5;6,3;7,8;8,3;8,0;6,6
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Nova Palma;89.889.604./000.1-44;21;79,1;62,1;27,8;31,0;78,4;7,0;6,5;6,3;8,2;8,4;7,8;6,6
2022;Concessionária;Nordeste;Energisa Sergipe;13.017.462./000.1-63;22;77,1;61,9;27,4;27,9;73,7;6,9;6,8;6,1;7,6;8,4;7,8;6,6
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;João Cesa;86.301.124./000.1-22;23;82,9;61,9;26,2;30,5;79,1;6,8;6,7;6,2;7,9;9,0;8,5;6,6
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Neoenergia Elektro;02.328.280./000.1-97;24;76,7;61,6;28,4;28,7;73,5;7,0;6,5;6,2;7,6;8,3;7,8;6,5
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Piratininga;04.172.213./000.1-51;25;74,9;61,3;27,6;27,4;70,7;7,0;6,5;6,1;7,4;8,0;7,8;6,5
2022;Concessionária;Norte;Energisa Tocantins;25.086.034./000.1-71;26;74,3;61,0;26,4;26,8;70,9;6,7;6,5;6,3;7,3;8,0;7,7;6,5
2022;Concessionária;Nordeste;Equatorial Maranhão;06.272.793./000.1-84;27;74,8;60,8;27,9;28,3;72,9;6,7;6,7;6,0;7,5;8,0;7,7;6,5
2022;Concessionária;Nordeste;Neoenergia Pernambuco;10.835.932./000.1-08;28;75,2;60,4;28,1;27,9;72,4;6,8;6,6;5,9;7,5;8,2;7,6;6,4
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Demei;95.289.500./000.1-00;29;76,1;60,4;26,9;27,1;74,0;6,9;6,5;5,9;7,6;8,0;7,9;6,4
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;EDP São Paulo;02.302.100./000.1-06;30;76,4;60,3;27,8;25,6;71,9;6,9;6,4;6,0;7,6;8,2;7,8;6,4
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./006.6-01;31;77,5;59,8;28,5;27,9;76,6;6,8;6,2;6,2;7,7;8,4;7,9;6,4
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./000.1-58;31;77,5;59,8;28,5;27,9;76,6;6,8;6,2;6,2;7,7;8,4;7,9;6,4
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;EDP Espírito Santo;28.152.650./000.1-71;32;77,5;59,8;28,5;27,6;74,4;6,8;6,3;6,1;7,7;8,3;7,9;6,4
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Eflul;86.531.175./000.1-40;33;82,7;59,7;20,5;28,9;76,4;6,5;6,5;6,1;8,0;8,9;8,4;6,4
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Nova Friburgo;33.249.046./000.1-06;34;77,6;58,2;27,3;23,5;72,7;6,6;6,1;6,0;7,5;8,4;8,0;6,2
2022;Concessionária;Nordeste;Equatorial Alagoas;12.272.084./000.1-00;35;73,8;58,0;25,9;28,5;69,0;6,7;6,4;5,5;7,6;7,9;7,4;6,2
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Cemig-D;06.981.180./000.1-16;36;73,5;57,8;27,6;26,6;70,1;6,7;6,1;5,8;7,3;8,1;7,5;6,2
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;CEEE-D Equatorial;08.467.115./000.1-00;37;73,5;56,5;26,7;26,3;71,2;6,7;5,9;5,7;7,5;8,0;7,3;6,1
2022;Concessionária;Nordeste;Neoenergia Coelba;15.139.629./000.1-94;38;70,9;55,7;26,4;24,3;67,1;6,4;6,2;5,5;6,9;7,8;7,4;6,0
2022;Concessionária;Nordeste;Equatorial Piauí;06.840.748./000.1-89;39;68,0;55,3;25,2;26,0;65,5;6,4;6,1;5,5;7,0;7,6;6,8;6,0
2022;Concessionária;Centro-Oeste acima de 30 mil unidades consumidoras;Neoenergia Brasília;07.522.669./000.1-92;40;73,2;55,0;25,5;24,5;66,6;6,3;5,8;5,8;7,4;8,1;7,3;6,0
2022;Concessionária;Centro-Oeste acima de 30 mil unidades consumidoras;Energisa Mato Grosso;03.467.321./000.1-99;41;70,5;54,9;24,7;23,0;64,5;6,1;6,1;5,6;6,8;7,8;7,3;5,9
2022;Concessionária;Centro-Oeste acima de 30 mil unidades consumidoras;Energisa Mato Grosso do Sul;15.413.826./000.1-50;42;69,9;54,5;25,1;24,0;65,4;6,2;5,9;5,6;6,8;7,8;7,3;5,9
2022;Concessionária;Norte;Energisa Rondônia;05.914.650./000.1-66;43;70,5;53,1;24,5;27,7;63,7;6,0;6,0;5,3;7,0;7,8;7,2;5,8
2022;Concessionária;Centro-Oeste acima de 30 mil unidades consumidoras;Equatorial Goiás;01.543.032./000.1-04;44;65,8;50,5;23,7;25,4;57,9;6,1;5,4;5,1;6,5;7,6;6,7;5,6
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Enel Distribuição São Paulo;61.695.227./000.1-93;45;66,5;49,3;22,5;21,2;57,4;5,8;5,4;5,1;6,5;7,5;7,0;5,4
2022;Concessionária;Norte;CEA Equatorial;05.965.546./000.1-09;46;65,6;49,1;23,6;26,6;64,2;5,6;5,8;4,9;6,9;7,4;6,4;5,4
2022;Concessionária;Nordeste;Enel Distribuição Ceará;07.047.251./000.1-70;47;69,0;49,0;21,9;22,9;60,6;5,8;5,4;5,0;6,9;7,6;7,2;5,4
2022;Concessionária;Norte;Equatorial Pará;04.895.728./000.1-80;48;63,2;48,1;23,3;25,1;55,2;5,5;5,5;4,9;6,0;7,1;6,9;5,3
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Light;60.444.437./000.1-46;49;64,1;47,4;24,2;23,2;52,6;5,8;5,4;4,6;6,4;7,3;6,7;5,3
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Enel Distribuição Rio de Janeiro;33.050.071./000.1-58;50;65,3;47,2;22,8;19,9;57,1;5,5;5,4;4,8;6,4;7,4;6,8;5,2
2022;Concessionária;Norte;Roraima Energia;02.341.470./000.1-44;51;67,4;46,8;22,0;23,8;60,8;5,2;5,5;4,9;6,8;7,7;6,7;5,2
2022;Concessionária;Norte;Amazonas Energia;02.341.467./000.1-20;52;66,1;46,7;22,0;21,5;57,5;5,3;5,5;4,8;6,7;7,4;6,8;5,2
2022;Concessionária;Norte;Amazonas Energia;02.341.467./000.4-73;52;66,1;46,7;22,0;21,5;57,5;5,3;5,5;4,8;6,7;7,4;6,8;5,2
2022;Concessionária;Norte;Energisa Acre;04.065.033./000.1-70;53;65,5;46,3;24,3;22,2;54,8;5,4;5,2;4,8;6,6;7,4;6,6;5,2
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Codesam;11.810.343./000.1-38;1;93,8;81,6;39,3;54,2;94,0;8,8;8,4;7,8;9,4;9,5;9,4;8,3
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Certel Energia;09.257.558./000.1-21;2;90,0;78,6;37,6;43,3;88,6;8,7;7,8;7,7;8,8;9,3;9,2;8,0
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermissões;97.081.434./000.1-03;3;91,3;78,5;36,8;42,8;91,1;8,5;8,0;7,8;9,1;9,4;9,2;8,1
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopercocal;86.532.348./000.1-45;4;91,8;77,8;36,2;45,5;91,2;8,6;8,0;7,3;9,0;9,5;9,3;8,0
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Creluz-D;91.950.261./000.1-28;5;91,1;77,3;37,1;39,7;92,5;8,4;7,9;7,5;9,0;9,4;9,2;7,9
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceriluz;87.656.989./000.1-74;6;90,9;77,1;36,7;39,8;91,5;8,4;7,7;7,7;9,0;9,4;9,2;7,9
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cegero;86.444.163./000.1-89;7;91,0;76,3;35,8;48,7;91,4;8,3;7,6;7,7;9,0;9,4;9,2;7,9
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coprel;90.660.754./000.1-60;8;89,5;75,4;36,9;42,2;89,2;8,4;7,4;7,6;8,9;9,3;9,0;7,8
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cergal;86.439.510./000.1-85;9;87,6;75,3;34,2;35,2;87,2;8,1;7,9;7,3;8,5;9,1;9,0;7,8
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopermila;75.568.154./000.1-83;10;91,1;74,9;34,8;42,3;93,7;8,1;7,6;7,4;8,9;9,5;9,2;7,7
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergapa;01.229.747./000.1-89;11;90,7;74,2;32,7;38,9;89,6;8,1;7,4;7,5;8,9;9,5;9,1;7,7
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cersul;86.512.670./000.1-02;12;86,9;73,1;33,7;40,0;85,6;8,1;7,5;7,1;8,4;9,1;9,0;7,6
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cooperluz;95.824.322./000.1-61;13;85,4;72,9;34,7;39,5;85,3;8,2;7,5;7,1;8,6;8,8;8,7;7,6
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceprag;78.274.610./000.1-70;14;87,0;72,4;33,1;36,7;84,5;8,0;7,3;7,1;8,4;9,2;8,9;7,5
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopera;83.646.653./000.1-70;15;87,4;72,0;36,2;41,6;86,6;7,7;7,4;7,3;8,5;9,2;8,9;7,5
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Certaja Energia;97.839.922./000.1-29;16;83,9;71,8;33,4;39,2;85,9;7,9;7,2;7,2;8,5;8,8;8,3;7,5
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermoful;86.533.346./000.1-70;17;86,5;71,6;31,1;36,3;82,4;7,8;7,4;7,0;8,3;9,2;8,9;7,4
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral-Dis;10.532.365./000.1-10;18;88,2;71,5;34,1;43,6;91,8;7,8;7,3;7,2;8,9;9,3;8,6;7,4
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Certhil;98.042.963./000.1-52;19;85,7;70,3;34,1;39,0;87,9;7,5;7,3;7,1;8,8;9,0;8,4;7,3
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cernhe;53.176.038./000.1-86;20;85,8;70,3;31,0;35,7;86,2;7,8;7,3;6,9;8,7;9,0;8,5;7,3
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Certrel;76.583.962./000.1-82;21;86,1;70,1;31,1;31,7;83,6;7,7;7,3;6,9;8,2;9,1;8,9;7,3
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceraçá;09.364.804./000.1-44;22;85,0;69,6;33,1;39,2;85,7;7,8;7,1;6,9;8,6;8,9;8,4;7,3
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coorsel;86.448.057./000.1-73;23;86,6;69,5;31,4;33,8;83,3;7,6;7,2;6,9;8,3;9,2;8,9;7,3
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerbranorte;86.433.042./000.1-31;24;86,2;69,3;28,8;35,1;82,8;7,7;7,0;7,0;8,4;9,1;8,8;7,2
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cersad Distribuidora;11.615.872./000.1-80;25;86,8;68,8;30,8;44,4;85,5;7,9;7,0;6,7;8,7;9,3;8,5;7,2
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cooperzem;78.829.843./000.1-92;26;85,8;68,5;30,6;34,8;81,9;7,5;7,0;7,0;8,3;9,2;8,6;7,2
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cemirim;52.777.034./000.1-90;27;85,0;68,2;29,3;35,3;83,9;7,6;7,1;6,7;8,5;9,0;8,5;7,1
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cedrap;60.196.987./000.1-93;28;83,9;68,0;31,5;32,3;83,3;7,5;7,2;6,7;8,4;8,8;8,4;7,1
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cervam;55.188.502./000.1-80;29;82,3;67,7;29,4;35,6;83,9;7,4;7,2;6,5;8,4;8,8;8,0;7,1
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Celetro;87.776.043./000.1-41;30;81,5;67,4;31,4;39,3;82,0;7,3;7,0;6,8;8,2;8,8;8,0;7,1
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergral;86.449.170./000.1-73;31;84,6;66,8;29,6;32,5;82,7;7,4;6,9;6,8;8,2;8,9;8,7;7,0
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerpalo;85.318.640./000.1-05;32;79,5;66,7;29,3;29,8;75,9;7,3;7,2;6,5;7,5;8,5;8,4;7,0
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopernorte;88.022.918./000.1-82;33;81,2;66,4;29,1;31,3;81,8;7,5;6,7;6,8;8,1;8,7;8,1;7,0
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Creral;89.435.598./000.1-55;34;80,5;66,1;29,4;31,9;80,4;7,2;6,8;6,8;8,0;8,8;8,0;6,9
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral Anitápolis;75.826.404./000.1-38;35;82,7;66,0;30,0;33,5;83,9;7,5;6,6;6,7;8,2;9,0;8,1;6,9
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Castro-Dis;30.460.297./000.1-39;36;82,5;65,9;30,3;46,5;85,4;7,1;7,0;6,6;8,3;9,0;8,0;6,9
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerej;82.574.864./000.1-81;37;82,4;65,6;30,5;35,7;84,3;7,2;6,9;6,6;8,1;9,0;8,2;6,9
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cejama;85.665.990./000.1-30;38;85,1;64,9;29,7;36,7;82,7;7,1;6,8;6,5;8,1;9,2;8,7;6,8
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cerpro;44.560.381./000.1-39;39;78,0;64,6;30,4;31,5;77,5;7,2;6,7;6,5;7,5;8,5;8,0;6,8
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cedri;50.105.865./000.1-90;40;78,9;63,9;27,3;30,0;75,4;7,1;6,8;6,4;7,5;8,5;8,2;6,8
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceripa;49.606.312./000.1-32;41;77,2;62,0;26,8;29,1;77,4;6,8;6,5;6,4;7,5;8,3;8,0;6,6
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cetril;49.313.653./000.1-10;42;77,5;61,6;30,3;31,1;76,7;6,9;6,5;6,2;7,5;8,5;7,9;6,5
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopersul;87.462.750./000.1-63;43;78,7;59,9;27,0;34,9;77,2;6,7;6,4;6,0;8,0;8,8;7,5;6,4
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cercos;13.107.842./000.1-99;44;77,6;59,1;24,4;28,8;72,8;6,3;6,7;5,9;7,4;8,4;8,1;6,3
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerfox;97.505.838./000.1-79;45;75,0;58,9;25,8;28,9;72,5;6,6;6,3;6,1;7,5;8,3;7,4;6,3
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerim;50.235.449./000.1-07;46;74,9;57,6;26,1;28,8;74,0;6,2;6,5;5,8;7,3;8,3;7,7;6,2
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceres;31.465.487./000.1-01;47;69,7;56,0;23,6;24,5;67,5;6,5;6,1;5,5;7,0;7,9;6,9;6,0
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceris;57.384.943./000.1-82;48;67,3;54,1;23,3;25,3;67,4;6,2;6,1;5,4;6,4;7,8;6,9;5,9
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerrp;46.598.678./000.1-19;49;70,0;51,8;19,9;27,5;65,6;5,9;5,6;5,4;7,2;8,0;6,6;5,7
2022;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerci;27.707.397./000.1-02;50;69,6;47,3;20,5;22,5;62,6;5,4;5,5;4,8;6,8;7,9;7,1;5,3
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral Araruama;28.610.236./000.1-69;51;65,0;46,3;23,5;26,6;64,3;5,1;5,3;5,0;6,4;7,8;6,3;5,2
2022;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cermc;52.548.732./000.1-14;52;66,5;45,4;21,8;22,1;63,7;5,1;5,2;5,0;6,6;7,8;6,6;5,1
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Mux Energia;97.578.090./000.1-34;1;88,7;73,0;32,7;30,9;90,7;8,0;7,5;7,3;8,6;9,3;9,0;7,6
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Hidropan;91.982.348./000.1-87;2;83,5;66,5;28,1;25,7;82,9;7,3;6,8;6,8;8,1;8,9;8,5;7,0
2021;Concessionária;Nordeste;Sulgipe;13.255.658./000.1-96;3;81,5;66,3;31,0;30,1;82,2;7,2;7,0;6,6;7,9;8,7;8,4;7,0
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cooperaliança;83.647.990./000.1-81;4;79,9;64,1;27,8;26,5;75,7;7,3;6,6;6,4;7,4;8,7;8,4;6,8
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;DMED;23.664.303./000.1-04;5;81,0;62,6;28,4;23,4;76,7;7,0;6,4;6,6;7,8;8,6;8,4;6,6
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Santa Maria;27.485.069./000.1-09;6;81,5;61,5;28,0;27,9;80,4;6,8;6,4;6,3;7,9;8,7;8,4;6,5
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Eletrocar;88.446.034./000.1-55;7;79,1;61,2;27,3;24,0;77,9;6,9;6,4;6,2;7,6;8,6;8,1;6,5
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Forcel;79.850.574./000.1-09;8;81,7;61,0;28,0;24,2;79,9;6,7;6,5;6,3;7,7;8,8;8,5;6,5
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Chesp;01.377.555./000.1-10;9;73,1;60,5;28,7;25,7;72,5;6,6;6,4;6,4;6,9;8,1;7,7;6,5
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Demei;95.289.500./000.1-00;10;76,9;60,3;25,6;21,8;76,2;6,8;6,3;6,2;7,5;8,2;8,0;6,4
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Santa Cruz;53.859.112./000.1-69;11;76,3;60,0;28,4;21,4;74,9;6,8;6,4;6,0;7,4;8,2;8,0;6,4
2021;Concessionária;Nordeste;Energisa Paraíba;09.095.183./000.1-40;12;76,7;59,6;27,6;23,0;73,2;6,9;6,5;5,7;7,5;8,3;7,9;6,4
2021;Concessionária;Sul acima de 400 mil unidades consumidoras;Celesc-Dis;08.336.783./000.1-90;13;76,4;59,5;27,6;23,8;73,6;6,8;6,3;6,0;7,3;8,3;8,0;6,4
2021;Concessionária;Nordeste;Energisa Borborema;08.826.596./000.1-95;14;77,8;59,3;26,8;24,4;75,7;6,8;6,2;5,9;7,6;8,3;8,1;6,3
2021;Concessionária;Sul acima de 400 mil unidades consumidoras;Copel-Dis;04.368.898./000.1-06;15;76,1;58,9;28,1;22,4;74,1;6,6;6,1;6,2;7,3;8,3;8,0;6,3
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Energisa Sul-Sudeste;07.282.377./000.1-20;16;77,7;58,6;27,4;23,6;73,4;6,7;6,3;5,7;7,5;8,5;8,0;6,3
2021;Concessionária;Sul acima de 400 mil unidades consumidoras;RGE;02.016.440./000.1-62;17;75,0;58,5;27,0;20,7;73,5;6,7;6,2;5,9;7,2;8,2;7,9;6,3
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;João Cesa;86.301.124./000.1-22;18;80,3;58,4;23,6;21,9;75,3;6,6;6,3;5,9;7,5;8,7;8,5;6,3
2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Nova Palma;89.889.604./000.1-44;19;77,5;58,4;27,5;22,4;77,6;6,7;6,1;5,9;7,6;8,4;7,9;6,2
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./006.6-01;20;75,2;57,6;26,3;24,1;73,1;6,5;6,1;6,0;7,3;8,3;7,7;6,2
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Minas Gerais;19.527.639./000.1-58;20;75,2;57,6;26,3;24,1;73,1;6,5;6,1;6,0;7,3;8,3;7,7;6,2
2021;Concessionária;Nordeste;Energisa Sergipe;13.017.462./000.1-63;21;75,8;57,5;26,5;21,7;73,8;6,5;6,3;5,8;7,4;8,2;7,8;6,2
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cocel;75.805.895./000.1-30;22;76,5;57,0;24,8;22,7;70,8;6,5;6,1;5,8;7,2;8,4;8,0;6,1
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Piratininga;04.172.213./000.1-51;23;74,6;56,5;26,9;21,1;70,0;6,4;6,1;5,8;7,3;8,0;7,8;6,1
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Paulista;33.050.196./000.1-88;24;74,7;56,1;28,7;22,8;69,9;6,4;6,0;5,7;7,2;8,1;7,8;6,0
2021;Concessionária;Nordeste;Equatorial Maranhão;06.272.793./000.1-84;25;70,8;56,1;26,1;22,0;68,2;6,2;6,2;5,8;7,0;7,8;7,4;6,0
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;EDP Espírito Santo;28.152.650./000.1-71;26;73,8;55,8;26,9;23,3;69,8;6,4;6,0;5,6;7,2;8,0;7,8;6,0
2021;Concessionária;Nordeste;Neoenergia Cosern;08.324.196./000.1-81;27;73,3;55,6;25,2;18,6;70,8;6,4;6,1;5,5;7,1;7,9;7,8;6,0
2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Energisa Nova Friburgo;33.249.046./000.1-06;28;77,2;55,6;27,2;23,8;71,4;6,2;6,1;5,8;7,4;8,4;8,0;6,0
2021;Concessionária;Sudeste acima de 400 mil unidades consumidoras;EDP São Paulo;02.302.100./000.1-06;29;72,1;55,1;26,2;21,0;67,6;6,4;5,9;5,6;7,0;7,9;7,5;6,0
