Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2017;Concessionária;Norte;Energisa Acre;04.065.033./000.1-70;46;59,8;50,9;38,2;20,5;49,1;5,8;5,7;5,3;6,5;6,7;5,9;5,6
2017;Concessionária;Norte;Equatorial Pará;04.895.728./000.1-80;47;51,4;48,8;20,7;24,4;41,2;5,2;5,6;5,4;5,3;5,8;5,7;5,4
2017;Concessionária;Norte;Roraima Energia;02.341.470./000.1-44;48;53,4;46,4;22,4;32,7;52,9;4,9;5,6;5,0;5,8;6,6;5,0;5,2
2017;Concessionária;Norte;Amazonas Energia;02.341.467./000.1-20;49;52,3;45,9;13,7;15,2;40,0;5,0;5,3;5,0;5,8;6,2;5,1;5,1
2017;Concessionária;Norte;Amazonas Energia;02.341.467./000.4-73;49;52,3;45,9;13,7;15,2;40,0;5,0;5,3;5,0;5,8;6,2;5,1;5,1
2017;Concessionária;Norte;Energisa Tocantins;25.086.034./000.1-71;50;52,6;45,2;17,1;22,9;37,3;5,0;5,2;5,1;5,1;6,2;5,8;5,1
2017;Concessionária;Norte;CEA;05.965.546./000.1-09;51;42,8;38,7;19,9;26,2;36,1;4,4;4,8;4,2;4,9;4,9;4,7;4,5
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cergal;86.439.510./000.1-85;1;86,5;86,8;60,8;45,2;86,4;8,9;9,1;8,4;8,4;9,1;8,9;8,8
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopermila;75.568.154./000.1-83;2;87,9;85,3;63,5;49,9;87,4;8,6;9,0;8,4;8,6;9,3;8,8;8,7
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral-Dis;10.532.365./000.1-10;3;82,1;83,7;40,7;24,4;80,2;8,8;8,5;8,2;8,3;8,5;8,3;8,5
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceriluz;87.656.989./000.1-74;4;75,5;82,1;65,9;56,2;79,0;8,6;8,6;8,0;7,6;8,0;7,7;8,4
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Creluz-D;91.950.261./000.1-28;5;76,9;81,7;58,1;43,1;80,5;8,6;8,5;7,7;7,5;8,3;8,0;8,3
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coprel;90.660.754./000.1-60;6;78,9;80,8;61,9;40,8;78,8;8,4;8,5;7,9;7,8;8,4;8,1;8,3
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coorsel;86.448.057./000.1-73;7;84,9;80,7;50,1;42,3;80,6;8,3;8,6;7,9;8,0;9,1;8,8;8,3
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopera;83.646.653./000.1-70;8;84,1;80,6;50,3;41,7;79,5;8,7;8,1;8,0;8,2;8,7;8,8;8,3
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopercocal;86.532.348./000.1-45;9;83,1;80,0;49,2;39,3;79,6;9,0;8,0;7,8;8,1;8,7;8,6;8,3
